#OK
#SQL= select * from MDR1..BDMW where snapnum = 85 and Vcir between 800.000000 and 1000.000000
#MAXROWS UNLIMITED
#QUERYTIMEOUT 2400 sec
#DATE 2013-06-26 10:36:28.592 CEST
#QUERYTIME 181362 millisec
#COLUMN 1 name=bdmId JDBC_TYPE=-5 JDBC_TYPENAME=bigint
#COLUMN 2 name=snapnum JDBC_TYPE=5 JDBC_TYPENAME=smallint
#COLUMN 3 name=NInCat JDBC_TYPE=-5 JDBC_TYPENAME=bigint
#COLUMN 4 name=hostFlag JDBC_TYPE=-5 JDBC_TYPENAME=bigint
#COLUMN 5 name=x JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 6 name=y JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 7 name=z JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 8 name=vx JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 9 name=vy JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 10 name=vz JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 11 name=np JDBC_TYPE=4 JDBC_TYPENAME=int
#COLUMN 12 name=Mvir JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 13 name=Mtot JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 14 name=Rvir JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 15 name=Vrms JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 16 name=Vcir JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 17 name=conc JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 18 name=Xoff JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 19 name=virialRatio JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 20 name=spin JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 21 name=Rrms JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 22 name=axisratio_2_1 JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 23 name=axisratio_3_1 JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 24 name=axis1_x JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 25 name=axis1_y JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 26 name=axis1_z JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 27 name=ix JDBC_TYPE=4 JDBC_TYPENAME=int
#COLUMN 28 name=iy JDBC_TYPE=4 JDBC_TYPENAME=int
#COLUMN 29 name=iz JDBC_TYPE=4 JDBC_TYPENAME=int
#COLUMN 30 name=phkey JDBC_TYPE=4 JDBC_TYPENAME=int
bdmId,snapnum,NInCat,hostFlag,x,y,z,vx,vy,vz,np,Mvir,Mtot,Rvir,Vrms,Vcir,conc,Xoff,virialRatio,spin,Rrms,axisratio_2_1,axisratio_3_1,axis1_x,axis1_y,axis1_z,ix,iy,iz,phkey
8500394089,85,394089,-1,673.4996,94.9178,134.6754,375.41,-120.6,97.61,15727,1.36399999E14,1.44099995E14,0.8496,939.6,834.5,2.661,0.0485,0.3342,0.0033,0.4967,0.5484,0.373,-0.4723,0.4875,0.7344,689,97,137,441285555
8500394574,85,394574,-1,695.3021,114.9706,145.9346,-625.55,-336.05,611.54,11098,9.624E13,1.31400003E14,0.8251,1022.0,800.0,7.274,0.0256,0.8287,0.0622,0.4167,0.7499,0.5814,-0.4983,-0.1925,0.8454,711,117,149,440503515
8500394827,85,394827,-1,717.621,113.0168,139.3238,-625.08,78.35,-33.46,12489,1.083E14,1.10699997E14,0.7802,870.3,830.3,5.409,0.024,0.203,0.0209,0.4123,0.9106,0.674,-0.309,0.3278,0.8928,734,115,142,440510863
8500397925,85,397925,-1,683.2045,88.9889,138.1463,-282.67,36.66,-255.16,15193,1.31799997E14,1.38400003E14,0.8394,913.2,863.0,4.578,0.0385,0.2216,0.0115,0.468,0.9833,0.5809,0.989,-0.0122,0.1473,699,91,141,441287527
8500398023,85,398023,-1,761.4929,167.7681,151.9291,290.85,82.67,-6.43,15411,1.33599999E14,1.50200006E14,0.8617,974.8,841.0,3.832,0.161,0.4294,0.0741,0.494,0.5215,0.3996,0.685,0.5835,0.4363,779,171,155,429112985
8500399546,85,399546,-1,722.7217,118.5076,145.0261,-540.08,-113.04,-418.56,11512,9.9829997E13,1.03999999E14,0.7669,882.4,823.2,6.273,0.0361,0.2787,0.0241,0.4054,0.8274,0.752,0.9225,0.0060,-0.3859,740,121,148,440419095
8500401004,85,401004,-1,782.8918,181.0759,155.7393,95.78,290.22,260.17,17448,1.51300004E14,1.60300007E14,0.8822,961.6,903.5,4.633,0.0451,0.2583,0.0299,0.4844,0.9451,0.658,0.7496,-0.5448,0.3759,801,185,159,428878927
8500401205,85,401205,-1,693.9457,125.6118,152.178,65.04,-134.35,114.41,23306,2.02100005E14,2.32399993E14,0.9979,1087.0,972.2,4.271,0.0889,0.387,0.0626,0.5597,0.618,0.4713,-0.2227,0.7288,0.6475,710,128,155,443487061
8500404106,85,404106,-1,782.9623,181.8924,157.6046,-82.3,169.0,-345.37,12509,1.08500001E14,1.16599999E14,0.7937,880.3,865.6,7.255,0.0199,0.1687,0.0115,0.4126,0.7649,0.6319,0.3578,0.3072,0.8818,801,186,161,428986938
8500405085,85,405085,-1,727.4507,19.6878,156.9559,-151.71,487.94,-318.78,15032,1.30399997E14,1.45199993E14,0.852,928.0,845.0,4.272,0.0701,0.2952,0.0889,0.47,0.6921,0.6261,0.7761,0.63,0.0278,744,20,160,440743616
8500405715,85,405715,-1,717.8389,136.8942,155.7114,-1024.09,540.0,157.16,14144,1.22700001E14,1.62300003E14,0.8872,1130.0,950.8,11.04,0.0452,0.6733,0.0364,0.4284,0.8301,0.7476,-0.7669,0.6148,0.184,735,140,159,443494390
8500406284,85,406284,-1,727.27,42.3422,158.6968,-261.85,-517.19,-443.98,15124,1.31200002E14,1.37399997E14,0.838,979.4,934.9,7.618,0.0369,0.2446,0.044,0.4313,0.743,0.6593,-0.1347,0.6998,0.7015,744,43,162,440779157
8500408173,85,408173,-1,699.2308,46.391,158.0172,-314.25,121.44,-374.09,16436,1.42500002E14,1.46100007E14,0.8554,1008.0,941.9,6.694,0.0323,0.2699,0.0265,0.4426,0.755,0.6787,0.7628,0.1015,-0.6386,716,47,161,440811580
8500409197,85,409197,-1,701.7651,105.6092,159.0826,-353.46,-58.13,-246.78,13407,1.16299997E14,1.17899998E14,0.7964,902.2,866.3,6.037,0.0371,0.2152,0.03,0.4205,0.9099,0.7845,0.8341,0.3898,0.3904,718,108,162,440485280
8500410367,85,410367,-1,690.9446,62.0297,164.1747,-101.05,584.21,-336.49,18815,1.632E14,1.84500001E14,0.9217,1024.0,888.7,3.386,0.016,0.4093,0.053,0.5255,0.5019,0.4384,-0.0129,0.999,0.0424,707,63,168,440819030
8500411582,85,411582,-1,666.0532,111.8053,179.1879,50.86,-44.17,179.13,12114,1.04999997E14,1.07200001E14,0.7736,894.9,829.8,5.787,0.0101,0.2799,0.016,0.4112,0.7926,0.6071,-0.322,0.5979,0.7341,682,114,183,441378681
8500412269,85,412269,-1,649.1749,107.9135,176.2973,138.4,468.26,-194.16,17490,1.51700007E14,1.57100005E14,0.8748,982.5,899.9,4.289,0.0511,0.2624,0.0419,0.4808,0.7185,0.6574,0.5556,0.1122,0.8239,664,110,180,441387306
8500413371,85,413371,-1,731.3284,37.8679,168.9762,-350.23,-328.79,-507.88,21254,1.84299999E14,1.97600003E14,0.9437,1022.0,939.7,3.662,0.0633,0.3702,0.0339,0.5552,0.351,0.3425,0.1736,0.957,0.2322,748,38,173,440780267
8500415075,85,415075,-1,712.7932,99.3095,179.684,-438.6,150.5,-102.74,19367,1.67999995E14,1.82900008E14,0.9233,996.3,904.0,3.533,0.058,0.2917,0.0532,0.5289,0.9674,0.5158,0.1442,0.9481,0.2835,729,101,183,440479417
8500420602,85,420602,-1,752.6387,15.5395,197.9037,187.92,-2.89,5.22,12120,1.05099997E14,1.09599999E14,0.7753,869.3,828.5,5.759,0.0424,0.2158,0.0292,0.4091,0.7527,0.6006,-0.6476,0.7611,0.0373,770,15,202,430270829
8500422240,85,422240,-1,734.2228,27.9238,194.3122,104.95,-48.94,-129.96,17129,1.48500004E14,1.54599999E14,0.8708,1029.0,932.6,5.887,0.0183,0.3255,0.0195,0.4616,0.5935,0.5489,0.2579,-0.6856,0.6807,751,28,198,442152257
8500422795,85,422795,-1,663.8954,109.2522,191.1687,125.67,80.32,-146.99,19606,1.70000007E14,1.76300002E14,0.9116,1059.0,950.9,4.971,0.0453,0.3375,0.0201,0.4994,0.5572,0.4558,0.8459,-0.2052,0.4923,679,111,195,441519641
