#OK
#SQL= select bdmId, x, y, z
#	from MDR1..BDMW 
#	where snapnum = 85 
#	and Vcir > 1000.0
#	
#MAXROWS UNLIMITED
#QUERYTIMEOUT 2400 sec
#DATE 2013-06-25 12:19:29.891 CEST
#QUERYTIME 182524 millisec
#COLUMN 1 name=bdmId JDBC_TYPE=-5 JDBC_TYPENAME=bigint
#COLUMN 2 name=x JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 3 name=y JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 4 name=z JDBC_TYPE=7 JDBC_TYPENAME=real
bdmId,x,y,z
8500004681,27.0791,194.5524,17.7199
8500013068,155.8934,93.7344,22.7418
8500013974,90.0652,53.1835,34.9824
8500018260,19.5389,117.7745,48.7943
8500020534,25.6214,121.5818,44.4593
8500026298,108.747,0.8166,49.7333
8500030062,88.085,38.8584,47.7973
8500033936,136.7024,165.5838,76.7614
8500044155,143.753,168.8497,78.1313
8500044434,146.4624,176.3713,81.8317
8500047697,137.4552,38.6405,97.2752
8500051228,123.4436,79.2554,91.2925
8500057610,0.4557,155.4977,101.1022
8500059136,41.6236,95.7874,109.9855
8500061021,83.0461,94.6067,114.9131
8500062738,77.7966,89.4788,109.3581
8500066868,34.264,0.2357,115.421
8500072043,76.2346,102.9028,136.2641
8500082023,187.843,172.739,163.5016
8500083373,140.733,30.2113,165.6489
8500084454,55.7918,140.2185,159.5744
8500088369,121.9848,175.868,167.8674
8500088636,16.0944,137.1032,161.6139
8500089571,195.428,167.4178,167.4371
8500091673,178.7341,181.8425,172.0871
8500092559,35.9479,125.1478,163.9331
8500093790,178.4125,181.3811,172.1533
8500097495,57.1838,143.4915,165.1038
8500098433,66.1117,81.0203,180.8753
8500099629,68.1738,79.5464,183.5326
8500106148,147.5464,120.9009,199.1736
8500107546,117.8907,45.3089,8.2886
8500109150,42.3074,147.5937,6.1366
8500109876,322.4315,161.1782,11.3205
8500112215,336.0152,78.0421,3.4009
8500113077,284.1944,170.7334,8.8357
8500114599,220.3943,172.8418,19.5358
8500115434,229.0,141.8836,13.5085
8500116441,237.6092,142.186,11.0967
8500120632,386.5072,63.6515,22.6849
8500127863,241.3217,66.5094,38.0044
8500129259,234.1328,176.3087,28.7896
8500134950,399.9143,164.0611,51.4041
8500136920,203.6045,37.7698,52.8924
8500140486,317.7964,112.1782,55.1313
8500143431,206.0255,128.4101,63.3204
8500144552,231.2172,67.7448,64.4214
8500146321,387.7184,174.6977,63.1914
8500146714,249.1173,45.5682,79.9434
8500146995,368.4375,69.2147,69.8426
8500147878,382.0888,184.2847,67.1295
8500148609,393.0637,166.6212,61.5175
8500150520,206.3506,148.8616,65.0624
8500153491,232.026,144.687,76.045
8500160658,267.4732,45.2531,96.3731
8500165466,279.2777,146.916,109.818
8500167428,254.0013,37.1549,106.1916
8500168400,218.612,57.3891,107.9442
8500173686,399.1012,94.6675,120.1868
8500181117,214.1918,86.221,135.0359
8500182370,297.4467,52.3162,130.4567
8500185219,285.9659,196.8236,145.8869
8500186908,261.2458,26.7639,147.5829
8500187192,240.7816,70.8176,143.4238
8500198273,272.9937,14.1609,171.8621
8500203099,301.2714,169.8735,182.2705
8500205076,341.7413,79.6307,194.0535
8500205185,219.346,187.6811,182.7229
8500213365,218.9143,53.8994,4.0882
8500216358,486.5133,7.1849,7.1372
8500217029,451.1663,63.0498,13.1837
8500217812,545.1319,69.5979,3.6615
8500220379,530.3749,178.9665,11.2049
8500220574,409.2511,168.4832,16.2227
8500223433,408.817,168.1374,16.0261
8500225761,578.8766,174.1938,20.0696
8500227286,451.5401,66.9021,28.1076
8500227541,517.9801,26.2844,30.5735
8500229812,483.6941,45.3969,35.8828
8500231046,459.9037,191.1304,28.836
8500234921,474.5564,67.198,42.4275
8500235101,489.248,23.0644,41.6895
8500243072,474.1627,76.7298,46.5737
